Event	ID	Name			Wwise Object Path	Notes
	1192815942	SeahorseHurt			\Default Work Unit\SeahorseHurt	
	1750343382	GameTheme			\Default Work Unit\GameTheme	
	2265923712	ClamGun			\Default Work Unit\ClamGun	
	2353344904	SideDash			\Default Work Unit\SideDash	
	3286942356	CrabWalk			\Default Work Unit\CrabWalk	
	3513059827	CrabJump			\Default Work Unit\CrabJump	

Switch Group	ID	Name			Wwise Object Path	Notes
	89505537	GamePlay			\Default Work Unit\GamePlay	

Switch	ID	Name	Switch Group			Notes
	529726532	End	GamePlay			
	1256202815	Play	GamePlay			
	1281810935	Start	GamePlay			

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	43332974	projectile (2)	C:\Users\misun\Desktop\Early Projects\WGJ162-Crab\WGJ162-Crab_WwiseProject\.cache\Windows\SFX\projectile (2)_E566A348.wem		\Actor-Mixer Hierarchy\Default Work Unit\clamProjectile\projectile (2)		1499
	68308383	crabWalk_02	C:\Users\misun\Desktop\Early Projects\WGJ162-Crab\WGJ162-Crab_WwiseProject\.cache\Windows\SFX\crabinplasticbag_7196446E.wem		\Actor-Mixer Hierarchy\Default Work Unit\crabWalk\crabWalk_02		6622
	101655479	subMelo2_8B_100BPM_Pre2B	C:\Users\misun\Desktop\Early Projects\WGJ162-Crab\WGJ162-Crab_WwiseProject\.cache\Windows\SFX\WGJ162-Crab-Music\subMelo2_8B_100BPM_Pre2B_9EDFC787.wem		\Interactive Music Hierarchy\Roam\GameAll\Roam A\Roam\subMelo2_8B_100BPM_Pre2B		141007
	108846159	subMelo4_8B_100BPM_Pre2B	C:\Users\misun\Desktop\Early Projects\WGJ162-Crab\WGJ162-Crab_WwiseProject\.cache\Windows\SFX\WGJ162-Crab-Music\subMelo4_8B_100BPM_Pre2B_9EDFC787.wem		\Interactive Music Hierarchy\Roam\GameAll\Roam A\Roam\subMelo4_8B_100BPM_Pre2B		122036
	141049560	melo1_8B_100BPM_Pre1B	C:\Users\misun\Desktop\Early Projects\WGJ162-Crab\WGJ162-Crab_WwiseProject\.cache\Windows\SFX\WGJ162-Crab-Music\melo3_8B_100BPM_Pre1B_9EDFC787.wem		\Interactive Music Hierarchy\Roam\GameAll\Roam A\Roam\melo1_8B_100BPM_Pre1B		223695
	156535245	crabWalk_03	C:\Users\misun\Desktop\Early Projects\WGJ162-Crab\WGJ162-Crab_WwiseProject\.cache\Windows\SFX\crabinplasticbag_67BB423C.wem		\Actor-Mixer Hierarchy\Default Work Unit\crabWalk\crabWalk_03		7171
	188608004	hurt_03	C:\Users\misun\Desktop\Early Projects\WGJ162-Crab\WGJ162-Crab_WwiseProject\.cache\Windows\SFX\hurt_4F63C14A.wem		\Actor-Mixer Hierarchy\Default Work Unit\shHurt\hurt_03		4078
	189478456	end1_4B_100BPM_Post3B	C:\Users\misun\Desktop\Early Projects\WGJ162-Crab\WGJ162-Crab_WwiseProject\.cache\Windows\SFX\end1_4B_100BPM_Post3B_9EDFC787.wem		\Interactive Music Hierarchy\Roam\GameAll\End\end1_4B_100BPM_Post3B		112702
	195839840	crabWalk_01	C:\Users\misun\Desktop\Early Projects\WGJ162-Crab\WGJ162-Crab_WwiseProject\.cache\Windows\SFX\crabinplasticbag_6EA7FF36.wem		\Actor-Mixer Hierarchy\Default Work Unit\crabWalk\crabWalk_01		12415
	263152062	hurt_02	C:\Users\misun\Desktop\Early Projects\WGJ162-Crab\WGJ162-Crab_WwiseProject\.cache\Windows\SFX\hurt_CBEAF901.wem		\Actor-Mixer Hierarchy\Default Work Unit\shHurt\hurt_02		3365
